State,Count_of_State,Percentage,Total
California,87320,23.32501696,374362
Texas,46103,12.3150854,374362
New Jersey,30428,8.127961706,374362
New York,29352,7.840539371,374362
Washington,17171,4.586736902,374362
Illinois,15544,4.152130825,374362
Massachusetts,12829,3.426896961,374362
Virginia,12625,3.37240425,374362
Florida,12109,3.234569748,374362
Georgia,11917,3.183282491,374362
Michigan,11778,3.146152654,374362
Pennsylvania,9217,2.462055444,374362
North Carolina,8352,2.230995667,374362
Ohio,6788,1.813218222,374362
Maryland,5899,1.575747538,374362
Oregon,4353,1.162778273,374362
Arizona,4335,1.157970093,374362
Connecticut,3589,0.958697731,374362
Wisconsin,3402,0.90874608,374362